,Matrikkel / Org-Anr,Address,PostalCode,Area,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes
12131,5001-156/32/0/33,Ringv̴lvegen 352 F,7089,HEIMDAL,Selveierleilighet,119,119,134,1935,4,10743.0,2022-11-30,4300000,0.0,4300000.0,3,3,2022-11-22,8,Meglerhuset Nylander,7089,7,7,1,0
12132,964918457/14,Harry Borthens vei 11,7040,TRONDHEIM,Borettslagsleilighet,45,56,62,1961,4,6061.1,2022-11-30,2700000,79723.0,2779723.0,0,1,2022-11-23,7,Privatmegleren,7040,9,3,1,0
12133,5001-198/42/0/6,Kirkeringen 2,7080,HEIMDAL,Selveierleilighet,0,47,0,2022,1,6762.0,2022-11-30,2790000,0.0,2790000.0,2,0,2022-11-30,0,Other,7080,8,7,0,0
12134,5001-198/42/0/11,Kirkeringen 2,7080,HEIMDAL,Selveierleilighet,0,39,0,2022,2,6762.0,2022-11-30,2460000,0.0,2460000.0,2,0,2022-11-30,0,Other,7080,8,7,0,0
12135,5001-198/42/0/5,Kirkeringen 2,7080,HEIMDAL,Selveierleilighet,0,47,0,2022,1,6762.0,2022-11-30,2700000,0.0,2700000.0,2,0,2022-11-30,0,Other,7080,8,7,0,0
12136,5001-51/19/0/2,Anne Hogstads veg 6,7046,TRONDHEIM,Selveier tomannsbolig,88,88,102,1963,2,403.0,2022-11-30,4100000,0.0,4100000.0,4,3,2022-10-10,51,Eiendomsmegler 1,7046,3,6,1,0
12137,955231600/55,By̴sveien 151 A,7021,TRONDHEIM,Borettslagsleilighet,75,88,95,1962,1,19248.3,2022-11-30,2600000,254994.0,2854994.0,3,2,2022-10-28,33,Eiendomsmegler 1,7021,3,3,0,0
12138,5001-70/152/0/0,Sunnlandsskrenten 24 C,7032,TRONDHEIM,Selveier enebolig,211,229,0,1987,0,743.4,2022-11-30,7200000,0.0,7200000.0,0,5,2022-10-06,55,Eiendomsmegler 1,7032,3,4,1,0
12139,5001-95/101/0/3,Thaulowbakken 5,7019,TRONDHEIM,Selveierleilighet,43,43,47,1920,3,664.9,2022-11-30,2460000,0.0,2460000.0,0,1,2022-11-10,20,DNB Eiendom,7019,1,7,1,0
12140,955231600/55,By̴sveien 151 A,7021,TRONDHEIM,Borettslagsleilighet,75,88,95,1962,1,19248.3,2022-11-30,2600000,254994.0,2854994.0,3,2,2022-10-28,33,Eiendomsmegler 1,7021,3,3,0,0
12141,950117427/138,Casper Lundes veg 2 A,7098,SAUPSTAD,Borettslagsleilighet,51,51,55,1972,1,100498.6,2022-11-30,2290000,82681.0,2372681.0,0,1,2022-11-16,14,Privatmegleren,7098,9,3,0,0
12142,5001-410/686/0/20,Dyre Halses gate 16,7042,TRONDHEIM,Selveierleilighet,50,50,0,2007,5,1401.5,2022-11-30,4190000,0.0,4190000.0,2,1,2022-11-23,7,Heimdal Eiendomsmegling,7042,4,7,1,0
12143,5001-316/200/0/0,Marcus Thranes vei 2,7072,HEIMDAL,Selveier enebolig,120,195,210,1955,0,434.6,2022-11-30,4400000,0.0,4400000.0,0,4,2022-11-22,8,Proaktiv,7072,10,4,1,0
12144,5001-91/31/0/42,Gamle Leirvegen 103,7038,TRONDHEIM,Selveierleilighet,63,67,73,2013,1,7568.9,2022-11-30,3300000,0.0,3300000.0,3,2,2022-10-21,40,Eiendomsmegler 1,7038,3,7,1,0
12145,931928481/100,Starrmyra 8,7091,TILLER,Borettslagsleilighet,87,92,101,1983,4,44016.5,2022-11-30,2810000,186689.0,2996689.0,3,2,2022-11-11,19,DNB Eiendom,7091,1,3,0,0
12146,5001-102/56/0/4,Emilie Kroghs veg 7,7023,TRONDHEIM,Selveierleilighet,66,66,71,1962,2,1128.6,2022-11-30,3000000,0.0,3000000.0,0,2,2022-10-07,54,Heimdal Eiendomsmegling,7023,4,7,1,0
12147,988005517/42,Mellomila 83,7018,TRONDHEIM,Borettslagsleilighet,43,45,51,2005,1,0.0,2022-11-30,1900000,545482.0,2445482.0,2,1,2022-11-01,29,Eiendomsmegler 1,7018,3,3,1,0
12148,956383773/6,Konglevegen 6 A,7058,CHARLOTTENLUND,Borettslagsleilighet,54,54,0,1959,3,2800.6,2022-11-30,2400000,327958.0,2727958.0,3,1,2022-10-21,40,Eiendomsmegler 1,7058,3,3,0,0
12149,950373520/410,Othilienborgvegen 53 B,7033,TRONDHEIM,Borettslagsleilighet,72,82,0,1966,1,95220.0,2022-11-30,2480000,552857.0,3032857.0,3,2,2022-11-23,7,Proaktiv,7033,10,3,0,0
